"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
4295,"BENSON POPE, David Henry","2008-11-08",0,0,0,0,3,"Labour",1
4310,"WORTH, Richard","2011-11-26",0,0,0,0,4,"National",1
4350,"HOROMIA, Parekura","2014-09-20",0,0,0,0,5,"Labour",0
4372,"SCOTT, Lynda","2005-09-17",0,0,0,0,2,"National",0
4418,"GOSCHE, Mark","2008-11-08",0,0,0,0,3,"Labour",1
4423,"CLARK, Helen Elizabeth","2011-11-26",0,0,0,0,4,"Labour",0
4520,"HUTCHISON, Paul","2014-09-20",0,0,0,0,5,"National",1
4537,"POWER, Simon","2011-11-26",0,1,1,0,4,"National",1
4574,"PILLAY, Lynne","2011-11-26",0,0,0,0,3,"Labour",0
4602,"WILSON, Margaret","2005-09-17",0,1,0,0,2,"Labour",1
4624,"SAMUELS, Dover","2008-11-08",0,0,0,0,3,"Labour",1
4658,"RIRINUI, Mita","2011-11-26",0,0,0,0,4,"Labour",0
4674,"BEYER, Georgina","2005-09-17",0,0,0,0,2,"Labour",1
4697,"OCONNOR, Damien","2002-07-27",0,0,0,0,1,"Labour",1
4713,"HEATLEY, Phil","2014-09-20",0,0,0,0,5,"National",1
4730,"WONG, Pansy","2011-11-26",0,1,0,0,3,"National",1
4768,"GOUDIE, Sandra","2011-11-26",0,0,0,0,3,"National",1
4796,"LOCKE, Keith","2011-11-26",0,0,0,0,3,"GP",0
4840,"LABAN, Winnie","2011-11-26",0,0,0,0,3,"Labour",0
4882,"AWATERE HUATA, Donna","2005-09-17",0,0,0,0,1,"ACT",0
4901,"CODDINGTON, Deborah","2005-09-17",0,0,0,0,1,"ACT",0
4922,"ROY, Heather","2011-11-26",0,0,0,0,3,"ACT",0
4925,"PARKER, David","2014-09-20",0,0,0,0,4,"Labour",0
4929,"HUGHES, Darren","2011-11-26",0,0,0,0,3,"Labour",0
4958,"CONNELL, Brian","2008-11-08",0,0,0,0,2,"National",0
4983,"COPELAND, Gordon","2008-11-08",0,0,0,0,2,"UFNZ",0
