Riding	Date	Candidate	Party	Votes	Elected
Clutha	11/28/1981	Matthewson CD	LAB	8799	0
Clutha	11/28/1981	Moody RS	SC	2047	0
Clutha	7/14/1984	Gray RMcD	NAT	10199	1
Clutha	7/14/1984	Sheppard MJ	LAB	5677	0
Clutha	7/14/1984	O'Malley NH	NZP	2764	0
Clutha	7/14/1984	McGimpsey R	SC	658	0
Clutha	8/15/1987	Gray RMcD	NAT	11919	1
Clutha	8/15/1987	Russell HA	LAB	6378	0
Clutha	8/15/1987	Stirling BA	DEM	1091	0
Coromandel	11/25/1972	Scultz LCT	NAT	8148	1
Coromandel	11/25/1972	Murphy Mrs A	LAB	5967	0
Coromandel	11/25/1972	McDonald AD	SC	2074	0
Coromandel	11/25/1972	Luxton CW	V	422	0
Coromandel	11/25/1972	Stuart-Menzies JAB	ND	184	0
Coromandel	11/25/1972	Brown RD	CN	136	0
Coromandel	11/29/1975	Scultz LCT	NAT	10621	1
Coromandel	11/29/1975	Bradley RL	LAB	5897	0
Coromandel	11/29/1975	McDonald AD	SC	2620	0
Coromandel	11/29/1975	Luxton CW	V	963	0
Coromandel	8/15/1987	Lee GE	NAT	8873	1
Coromandel	8/15/1987	Thompson ADT	DEM	5108	0
Coromandel	8/15/1987	Hawkeswood Ms WM	LAB	5000	0
Coromandel	8/15/1987	Donald Ms M	V	87	0
Coromandel	8/15/1987	Galvin M	MS	82	0
Dunedin Central	11/27/1946	Connolly PG	LAB	7633	1
Dunedin Central	11/27/1946	Sidey TKS	NAT	5633	0
Dunedin Central	11/30/1949	Connolly PG	LAB	6813	1
Dunedin Central	11/30/1949	Murdoch D	NAT	5824	0
Dunedin Central	9/1/1951	Connolly PG	LAB	6231	1
Dunedin Central	9/1/1951	MacDougall WP	NAT	5858	0
Dunedin Central	11/13/1954	Connolly PG	LAB	5784	1
Dunedin Central	11/13/1954	Anderson MWD	NAT	5454	0
Dunedin Central	11/13/1954	King Miss MHA	SC	2320	0
Dunedin Central	11/30/1957	Connolly PG	LAB	8241	1
Dunedin Central	11/30/1957	Anderson MWD	NAT	6463	0
Dunedin Central	11/30/1957	King Miss MHA	SC	850	0
Dunedin Central	11/26/1960	Connolly PG	LAB	7175	1
Dunedin Central	11/26/1960	Scurr ND	NAT	6333	0
Dunedin Central	11/26/1960	Aberdeen C	SC	951	0
Dunedin Central	11/26/1960	Taylor WMcC	I	471	0
Dunedin Central	11/30/1963	MacDonell BP	LAB	7639	1
Dunedin Central	11/30/1963	Thorn GR	NAT	6469	0
Dunedin Central	11/30/1963	Aberdeen C	SC	1499	0
Dunedin Central	11/30/1963	Marston JL	C	96	0
Dunedin Central	11/26/1966	MacDonell BP	LAB	7557	1
Dunedin Central	11/26/1966	Farry JE	NAT	6312	0
Dunedin Central	11/26/1966	Aberdeen C	SC	1687	0
Dunedin Central	11/29/1969	MacDonell BP	LAB	9565	1
Dunedin Central	11/29/1969	Reichtwen Mrs MM	NAT	5616	0
Dunedin Central	11/29/1969	Aberdeen C	SC	1515	0
Dunedin Central	11/29/1969	Williams GMP	Ph	418	0
Dunedin Central	11/25/1972	MacDonell BP	LAB	9378	1
Dunedin Central	11/25/1972	O'Neill FA	NAT	5607	0
Dunedin Central	11/25/1972	Aberdeen C	SC	1058	0
Dunedin Central	11/25/1972	Murphy CJ	ND	119	0
Dunedin Central	11/25/1972	Marston JL	SU	105	0
Dunedin Central	11/29/1975	MacDonell BP	LAB	8352	1
Dunedin Central	11/29/1975	Bright IR	NAT	6924	0
Dunedin Central	11/29/1975	Dawson Mrs KM	V	1353	0
Dunedin Central	11/29/1975	Vujcich Miss ZP	SC	1327	0
Dunedin Central	11/29/1975	Linsay J	SU	32	0
Dunedin Central	11/29/1975	Smith H	TWP	13	0
Dunedin Central	11/25/1978	MacDonell BP	LAB	9193	1
Dunedin Central	11/25/1978	Ablett MB	NAT	5780	0
Dunedin Central	11/25/1978	Howard Mrs CMcL	SC	2649	0
Dunedin Central	11/25/1978	Dawson Mrs KM	V	685	0
Dunedin Central	11/28/1981	MacDonell BP	LAB	9662	1
Dunedin Central	11/28/1981	King Mrs NR	NAT	5493	0
Dunedin Central	11/28/1981	Hood DA	SC	2798	0
Dunedin North	11/27/1946	Walls R	LAB	7487	1
Dunedin North	11/27/1946	Jones NH	NAT	6217	0
Dunedin North	11/30/1949	Walls R	LAB	7190	1
Dunedin North	11/30/1949	Brickell RG	NAT	6522	0
Dunedin North	11/30/1949	Marston JL	C	109	0
Dunedin North	9/1/1951	Walls R	LAB	6929	1
Dunedin North	9/1/1951	Cameron Sir Donald	NAT	6622	0
Dunedin North	12/12/1953	McMillan Mrs EE	LAB	6424	1
Dunedin North	12/12/1953	MacDougall WP	NAT	3944	0
Dunedin North	11/13/1954	McMillan Mrs EE	LAB	6860	1
Dunedin North	11/13/1954	Black Mrs H	NAT	4069	0
Dunedin North	11/13/1954	McMullan PJJ	SC	2509	0
Dunedin North	11/30/1957	McMillan Mrs EE	LAB	8616	1
Dunedin North	11/30/1957	Terry GR	NAT	5208	0
Dunedin North	11/30/1957	McMullan PJJ	SC	1180	0
Dunedin North	11/26/1960	McMillan Mrs EE	LAB	7645	1
Dunedin North	11/26/1960	Bell Miss MB	NAT	5170	0
Dunedin North	11/26/1960	Goddard GW	SC	1265	0
Dunedin North	11/26/1960	Hunter EW	C	73	0
Dunedin North	11/30/1963	McMillan Mrs EE	LAB	8566	1
Dunedin North	11/30/1963	Whittleston E	NAT	6042	0
Dunedin North	11/30/1963	Goddard GW	SC	1370	0
Dunedin North	11/30/1963	Hunter EW	C	116	0
Dunedin North	11/26/1966	McMillan Mrs EE	LAB	8079	1
Dunedin North	11/26/1966	Gerard GB	NAT	5246	0
Dunedin North	11/26/1966	Fagg AW	SC	2052	0
Dunedin North	11/29/1969	McMillan Mrs EE	LAB	8721	1
Dunedin North	11/29/1969	Williams Mrs JW	NAT	5792	0
Dunedin North	11/29/1969	Fagg AW	SC	1129	0
Dunedin North	11/29/1969	Wedderspoon PJ	DL	224	0
Dunedin North	11/29/1969	McPhee JCM	ACP	103	0
Dunedin North	11/25/1972	McMillan Mrs EE	LAB	9211	1
Dunedin North	11/25/1972	Wallis JH	NAT	5191	0
Dunedin North	11/25/1972	Neill GH	V	1801	0
Dunedin North	11/25/1972	Clapham Mrs JP	SC	830	0
Dunedin North	11/25/1972	Pullar PJ	ND	51	0
Dunedin North	11/29/1975	Walls RF	NAT	8740	1
Dunedin North	11/29/1975	Arnold BK	LAB	7782	0
Dunedin North	11/29/1975	Sutton PJ	V	2075	0
Dunedin North	11/29/1975	Harper I	SC	1180	0
Dunedin North	11/25/1978	Rodger SJ	LAB	9846	1
Dunedin North	11/25/1978	Walls RF	NAT	6996	0
Dunedin North	11/25/1978	Sheppard MJ	SC	2228	0
Dunedin North	11/25/1978	Brook PRJ	V	799	0
Dunedin North	11/25/1978	O'Neill JS	NP	559	0
Dunedin North	11/28/1981	Rodger SJ	LAB	10339	1
Dunedin North	11/28/1981	Bleach CD	NAT	5606	0
Dunedin North	11/28/1981	Woods HF	SC	2835	0
Dunedin North	11/28/1981	Everson WP	W	171	0
Dunedin North	7/14/1984	Rodger SJ	LAB	10964	1
Dunedin North	7/14/1984	Henderson Miss B	NAT	5835	0
Dunedin North	7/14/1984	Vandervis L	NZP	3010	0
Dunedin North	7/14/1984	Paddon CA	SC	966	0
Dunedin North	7/14/1984	Everson WP	W	151	0
Dunedin North	7/14/1984	Nixon CA	I	74	0
Dunedin North	7/14/1984	Menzies MA	INZP	58	0
Dunedin North	8/15/1987	Rodger SJ	LAB	12565	1
Dunedin North	8/15/1987	Davison SP	NAT	6031	0
Dunedin North	8/15/1987	Begley JW	DEM	725	0
Dunedin North	8/15/1987	Deaker AJB	ED	446	0
Dunedin North	8/15/1987	Everson WP	W	178	0
Dunedin North	8/15/1987	Gumbley WJ	MS	148	0
Dunedin North	8/15/1987	Menzies MA	INZP	75	0
Dunedin West	7/14/1984	Matthewson CD	LAB	10832	1
Dunedin West	7/14/1984	Russell DGP	NAT	4821	0
Dunedin West	7/14/1984	MacDonell BP	IL	3638	0
Dunedin West	7/14/1984	Freeman RJM	NZP	1840	0
Dunedin West	7/14/1984	Guise D	SC	749	0
Dunedin West	8/15/1987	Matthewson CD	LAB	12108	1
Dunedin West	8/15/1987	McMeeking IW	NAT	7561	0
Dunedin West	8/15/1987	Mellon MJ	DEM	812	0
Dunedin West	8/15/1987	Campbell GB	W	142	0
East Cape	11/25/1978	MacIntyre D	NAT	7868	1
East Cape	11/25/1978	Drabble OP	LAB	5335	0
East Cape	11/25/1978	Robinson MDG	SC	2898	0
East Cape	11/25/1978	Kelly AD	V	437	0
East Cape	11/28/1981	MacIntyre D	NAT	7962	1
East Cape	11/28/1981	Dey PA	LAB	5998	0
East Cape	11/28/1981	Robinson MDG	SC	3776	0
East Cape	11/28/1981	Kelly AD	V	285	0
East Cape	7/14/1984	Fraser Mrs LA	LAB	7365	1
East Cape	7/14/1984	Leeming Miss RJ	NAT	6610	0
East Cape	7/14/1984	Orr AR	NZP	3209	0
East Cape	7/14/1984	Tairua PP	SC	679	0
East Cape	7/14/1984	Kelly AD	V	126	0
East Cape	8/15/1987	Fraser Mrs LA	LAB	8252	1
East Cape	8/15/1987	Gardiner HT	NAT	8006	0
East Cape	8/15/1987	Rabarts JW	DEM	397	0
East Coast Bays	11/25/1972	Gill TF	NAT	8460	1
East Coast Bays	11/25/1972	Pauling BT	LAB	7481	0
East Coast Bays	11/25/1972	Ross Mrs BM	SC	1357	0
East Coast Bays	11/25/1972	Edgecumbe Mrs KF	ND	93	0
East Coast Bays	11/29/1975	Gill TF	NAT	12739	1
East Coast Bays	11/29/1975	Stanton LR	LAB	7145	0
East Coast Bays	11/29/1975	Bartram JA	V	1839	0
East Coast Bays	11/29/1975	Lord NE	SC	1253	0
East Coast Bays	11/25/1978	Gill TF	NAT	7675	1
East Coast Bays	11/25/1978	Hicks Mrs C	LAB	6109	0
East Coast Bays	11/25/1978	Knapp GT	SC	4448	0
East Coast Bays	11/25/1978	Phillips DW	NA	3684	0
East Coast Bays	11/25/1978	Smith E	V	339	0
East Coast Bays	9/6/1980	Knapp GT	SC	8061	1
East Coast Bays	9/6/1980	Brash DT	NAT	7110	0
East Coast Bays	9/6/1980	Hoadley Mrs WN	LAB	3296	0
East Coast Bays	9/6/1980	Moore JS	V	144	0
East Coast Bays	11/28/1981	Knapp GT	SC	11568	1
East Coast Bays	11/28/1981	Brash DT	NAT	10810	0
East Coast Bays	11/28/1981	Creighton NT	LAB	3335	0
East Coast Bays	11/28/1981	Smith E	I	49	0
East Coast Bays	7/14/1984	Knapp GT	SC	10146	1
East Coast Bays	7/14/1984	McCully MS	NAT	8126	0
East Coast Bays	7/14/1984	Smythe MH	LAB	2081	0
East Coast Bays	7/14/1984	Phillips DW	NZP	2035	0
East Coast Bays	7/14/1984	Smits MF	I	17	0
East Coast Bays	8/15/1987	McCully MS	NAT	8833	1
East Coast Bays	8/15/1987	Knapp GT	SC	8522	0
East Coast Bays	8/15/1987	Sellwood WK	LAB	4411	0
East Coast Bays	8/15/1987	Braithwaite JC	AL	68	0
Eastern Hutt	11/25/1978	Young TJ	LAB	10640	1
Eastern Hutt	11/25/1978	Young Miss RA	NAT	5267	0
Eastern Hutt	11/25/1978	MacRae I	SC	2394	0
Eastern Hutt	11/25/1978	White MA	V	400	0
Eastern Hutt	11/25/1978	Gee Mrs ME	RL	168	0
Eastern Hutt	11/28/1981	Young TJ	LAB	10335	1
Eastern Hutt	11/28/1981	Duthie AJ	NAT	5324	0
Eastern Hutt	11/28/1981	MacRae I	SC	3199	0
Eastern Hutt	7/14/1984	Young TJ	LAB	10816	1
Eastern Hutt	7/14/1984	McLauchlan Mrs MJ	NAT	4811	0
Eastern Hutt	7/14/1984	Harvey Mrs MI	NZP	2832	0
Eastern Hutt	7/14/1984	MacRae I	SC	1005	0
Eastern Hutt	8/15/1987	Young TJ	LAB	10977	1
Eastern Hutt	8/15/1987	Pattison PW	NAT	6237	0
Eastern Hutt	8/15/1987	Barnard TL	SC	1064	0
Eden	11/27/1946	Fortune WH	NAT	7055	1
Eden	11/27/1946	Freer WW	LAB	5774	0
Eden	11/30/1949	Fortune WH	NAT	7184	1
Eden	11/30/1949	Curran PT	LAB	4925	0
Eden	9/1/1951	Fortune WH	NAT	7016	1
Eden	9/1/1951	Burfitt JR	LAB	4214	0
Eden	11/13/1954	Rae DM	NAT	6910	1
Eden	11/13/1954	Stewart JW	LAB	6902	0
Eden	11/13/1954	Donovan A	SC	644	0
Eden	11/30/1957	Rae DM	NAT	8744	1
Eden	11/30/1957	Watkins CIB	LAB	8246	0
Eden	11/30/1957	Grove AG	SC	599	0
Eden	11/26/1960	Rae J	NAT	8632	1
Eden	11/26/1960	Penney RG	LAB	6730	0
Eden	11/26/1960	Grove AG	SC	556	0
Eden	11/30/1963	Rae J	NAT	8887	1
Eden	11/30/1963	Knipe FB	LAB	5552	0
Eden	11/30/1963	Grove AG	SC	632	0
Eden	11/30/1963	Rayner WW	LIB	323	0
Eden	11/26/1966	Rae J	NAT	7502	1
Eden	11/26/1966	Stewart JW	LAB	4954	0
Eden	11/26/1966	Tansfield TRC	SC	1288	0
Eden	11/29/1969	Rae J	NAT	8636	1
Eden	11/29/1969	Sinclair K	LAB	8569	0
Eden	11/29/1969	Molloy Mrs HA	SC	975	0
Eden	11/25/1972	Moore MK	LAB	9046	1
Eden	11/25/1972	Kidd Mrs MG	NAT	8258	0
Eden	11/25/1972	Keiller WJ	V	656	0
Eden	11/25/1972	Morrison NJ	SC	646	0
Eden	11/25/1972	Bott CW	ND	60	0
Eden	11/25/1972	Bell FW	I	48	0
Eden	11/25/1972	King-Ansell DC	NS	35	0
Eden	11/25/1972	Tudor GT	LR	21	0
Eden	11/29/1975	Malcolm AG	NAT	9725	1
Eden	11/29/1975	Moore MK	LAB	8394	0
Eden	11/29/1975	Lunberg PB	V	991	0
Eden	11/29/1975	Clark LA	SC	497	0
Eden	11/29/1975	King-Ansell DC	NS	19	0
Eden	11/29/1975	Voss MD	ILT	16	0
Eden	11/29/1975	Hughes Mrs NM	DL	11	0
Eden	11/25/1978	Malcolm AG	NAT	8653	1
Eden	11/25/1978	Hinchcliff JC	LAB	8005	0
Eden	11/25/1978	Tasker Mrs LB	SC	1836	0
Eden	11/25/1978	Crozier Mrs MR	V	877	0
Eden	11/25/1978	Peers ML	NA	525	0
Eden	11/25/1978	Moss BC	WL	53	0
Eden	11/25/1978	Terreni VLB	CU	49	0
Eden	11/28/1981	Malcolm AG	NAT	8526	1
Eden	11/28/1981	Scott IK	LAB	8409	0
Eden	11/28/1981	Scott AF	SC	3303	0
Eden	11/28/1981	Tyson Ms RA	V	162	0
Eden	7/14/1984	Northey RJ	LAB	11106	1
Eden	7/14/1984	Malcolm AG	NAT	8800	0
Eden	7/14/1984	Cullen RGV	NZP	2294	0
Eden	7/14/1984	Harris KA	SC	571	0
Eden	7/14/1984	Williams S	V	96	0
Eden	8/15/1987	Northey RJ	LAB	11916	1
Eden	8/15/1987	Tauroa ETeR	NAT	8512	0
Eden	8/15/1987	Drabble AA	DEM	380	0
Eden	8/15/1987	Holloway Miss BV	NZP	153	0
Egmont	11/27/1946	Corbett EB	NAT	8135	1
Egmont	11/27/1946	Parker CR	LAB	4737	0
Egmont	11/30/1949	Corbett EB	NAT	8693	1
Egmont	11/30/1949	Richmond BE	LAB	4154	0
Egmont	9/1/1951	Corbett EB	NAT	8643	1
Egmont	9/1/1951	Richmond BE	LAB	3747	0
Egmont	11/13/1954	Corbett EB	NAT	6690	1
Egmont	11/13/1954	Evans R	LAB	3713	0
Egmont	11/13/1954	Smith WM	SC	1385	0
Egmont	11/30/1957	Sheat WA	NAT	6863	1
Egmont	11/30/1957	Parker CR	LAB	4166	0
Egmont	11/30/1957	Smith WM	SC	1848	0
Egmont	11/26/1960	Sheat WA	NAT	7128	1
Egmont	11/26/1960	Watson JW	LAB	3195	0
Egmont	11/26/1960	Smith WM	SC	2209	0
Egmont	11/30/1963	Sheat WA	NAT	7102	1
Egmont	11/30/1963	Seddon JB	LAB	4055	0
Egmont	11/30/1963	Smith WM	SC	2144	0
Egmont	11/26/1966	Young VS	NAT	6279	1
Egmont	11/26/1966	Johnston HN	SC	3017	0
Egmont	11/26/1966	Vallely DC	LAB	2560	0
Egmont	11/26/1966	Finer FW	I	1005	0
Egmont	11/29/1969	Young VS	NAT	7396	1
Egmont	11/29/1969	McGreevy T	LAB	3116	0
Egmont	11/29/1969	Johnston HN	SC	3007	0
Egmont	11/29/1969	Emeny CS	CP	300	0
Egmont	11/25/1972	Young VS	NAT	7481	1
Egmont	11/25/1972	Peck RL	LAB	4553	0
Egmont	11/25/1972	Johnston HN	SC	2594	0
Egmont	11/25/1972	West RA	LR	111	0
Egmont	11/25/1972	Tabuteau DV	ND	47	0
Egmont	11/29/1975	Young VS	NAT	8790	1
Egmont	11/29/1975	Duggan DW	LAB	4670	0
Egmont	11/29/1975	Johnston HN	SC	2657	0
Egmont	11/29/1975	Streeton RH	V	402	0
Fendalton	11/27/1946	Holland SG	NAT	8065	1
Fendalton	11/27/1946	Williams AG	LAB	5061	0
Fendalton	11/30/1949	Holland SG	NAT	8362	1
Fendalton	11/30/1949	Newman RT	LAB	4286	0
Fendalton	11/30/1949	Gilmour GH	INDLIB	565	0
Fendalton	9/1/1951	Holland SG	NAT	8546	1
Fendalton	9/1/1951	Alley PJ	LAB	4180	0
Fendalton	11/13/1954	Holland SG	NAT	7852	1
Fendalton	11/13/1954	McDonald RH	LAB	3952	0
Fendalton	11/13/1954	Collins AE	SC	2173	0
Fendalton	11/30/1957	Watts JT	NAT	8307	1
Fendalton	11/30/1957	White LGG	LAB	6140	0
Fendalton	11/30/1957	Collins AE	SC	824	0
Fendalton	11/26/1960	Lake HR	NAT	9500	1
Fendalton	11/26/1960	Rowling WE	LAB	6778	0
Fendalton	11/26/1960	Forster JJ	SC	826	0
Fendalton	11/30/1963	Lake HR	NAT	9329	1
Fendalton	11/30/1963	Barclay BG	LAB	6589	0
Fendalton	11/30/1963	Collins WJ	C	145	0
Fendalton	11/26/1966	Lake HR	NAT	8850	1
Fendalton	11/26/1966	Barclay BG	LAB	6579	0
Fendalton	11/26/1966	Forster JJ	SC	1803	0
Fendalton	4/15/1967	Holland ESF	NAT	7024	1
Fendalton	4/15/1967	Barclay BG	LAB	6738	0
Fendalton	4/15/1967	Forster JJ	SC	1451	0
Fendalton	11/25/1978	Holland ESF	NAT	9480	1
Fendalton	11/25/1978	Close DC	LAB	7524	0
Fendalton	11/25/1978	Parlane DW	SC	1603	0
Fendalton	11/25/1978	Offwood DR	V	1017	0
Fendalton	11/28/1981	Burdon PR	NAT	9772	1
Fendalton	11/28/1981	Close DC	LAB	8614	0
Fendalton	11/28/1981	Moore Mrs LL	SC	1894	0
Fendalton	7/14/1984	Burdon PR	NAT	10506	1
Fendalton	7/14/1984	Dobson MJ	LAB	9049	0
Fendalton	7/14/1984	Radley RA	N2P	2445	0
Fendalton	7/14/1984	Wright Miss S	SC	316	0
Fendalton	7/14/1984	Thomson WH	V	107	0
Fendalton	7/14/1984	Ellims M	CS	22	0
Fendalton	8/15/1987	Burdon PR	NAT	10482	1
Fendalton	8/15/1987	Cherry NJ	LAB	10171	0
Fendalton	8/15/1987	Smith WA	DEM	366	0
Fendalton	8/15/1987	Tomasi Ms MJ	BF	104	0
Fendalton	8/15/1987	Falloon AS	IL	62	0
Fendalton	8/15/1987	Day PAR	W	61	0
Franklin	11/27/1946	Massey JN	NAT	8545	1
Franklin	11/27/1946	Gunn ADJ	LAB	4522	0
Franklin	11/30/1949	Massey JN	NAT	9635	1
Franklin	11/30/1949	Parsons J	LAB	4154	0
Franklin	9/1/1951	Massey JN	NAT	9691	1
Franklin	9/1/1951	Faulkner AJ	LAB	4333	0
Franklin	11/13/1954	Massey JN	NAT	7299	1
Franklin	11/13/1954	Peacock R	LAB	2712	0
Franklin	11/13/1954	Wheeler TA	SC	1398	0
Franklin	11/30/1957	Allen AE	NAT	8522	1
Franklin	11/30/1957	Mountford C	LAB	4281	0
Franklin	11/30/1957	Wheeler TA	SC	1386	0
Franklin	11/26/1960	Allen AE	NAT	9442	1
Franklin	11/26/1960	Preston HT	LAB	4245	0
Franklin	11/26/1960	Wheeler TA	SC	1219	0
Franklin	11/30/1963	Allen AE	NAT	8690	1
Franklin	11/30/1963	Waishing R	LAB	2841	0
Franklin	11/30/1963	Wheeler TA	SC	1646	0
Franklin	11/26/1966	Allen AE	NAT	7343	1
Franklin	11/26/1966	Waishing R	LAB	2260	0
Franklin	11/26/1966	Wheeler TA	SC	1907	0
Franklin	11/26/1966	Muir MJ	ID	1419	0
Franklin	11/29/1969	Allen AE	NAT	8900	1
Franklin	11/29/1969	Tuhimata TN	LAB	3405	0
Franklin	11/29/1969	Wheeler TA	SC	1875	0
Franklin	11/25/1972	Birch WF	NAT	8300	1
Franklin	11/25/1972	Braybrooke GB	LAB	4112	0
Franklin	11/25/1972	Morell GC	SC	1472	0
Franklin	11/25/1972	Keven TE	LR	361	0
Franklin	11/25/1972	Lawson MH	ND	84	0
Franklin	11/29/1975	Birch WF	NAT	10844	1
Franklin	11/29/1975	Waishing R	LAB	3239	0
Franklin	11/29/1975	Morell GC	SC	1657	0
Franklin	11/29/1975	Hutton GT	V	950	0
Franklin	11/29/1975	Roberts JG	SU	21	0
Franklin	7/14/1984	Birch WF	NAT	10501	1
Franklin	7/14/1984	Haywood R	LAB	5291	0
Franklin	7/14/1984	McGuire NJ	NZP	2880	0
Franklin	7/14/1984	Scott AF	SC	1600	0
Franklin	7/14/1984	Haines M	V	131	0
Gisborne	11/27/1946	Coleman DW	LAB	8240	1
Gisborne	11/27/1946	Barker HH	NAT	6225	0
Gisborne	11/30/1949	Keeling RA	LAB	7534	1
Gisborne	11/30/1949	Dudfield H	NAT	7045	0
Gisborne	9/1/1951	Dudfield H	NAT	7569	1
Gisborne	9/1/1951	Keeling RA	LAB	7231	0
Gisborne	11/13/1954	Keeling RA	LAB	7086	1
Gisborne	11/13/1954	Dudfield H	NAT	6565	0
Gisborne	11/13/1954	D'Anvers ER	SC	844	0
Gisborne	11/30/1957	Keeling RA	LAB	8038	1
Gisborne	11/30/1957	MacPherson AH	NAT	6856	0
Gisborne	11/30/1957	Orr KF	SC	614	0
Gisborne	11/26/1960	Tombleson Mrs EI	NAT	7284	1
Gisborne	11/26/1960	Keeling RA	LAB	6993	0
Gisborne	11/26/1960	Box AF	SC	994	0
Gisborne	11/30/1963	Tombleson Mrs EI	NAT	8018	1
Gisborne	11/30/1963	MacDonald R	LAB	7116	0
Gisborne	11/30/1963	Box AF	SC	695	0
Gisborne	11/26/1966	Tombleson Mrs EI	NAT	7495	1
Gisborne	11/26/1966	MacDonald R	LAB	6063	0
Gisborne	11/26/1966	Phin PK	SC	2077	0
Gisborne	11/29/1969	Tombleson Mrs EI	NAT	8321	1
Gisborne	11/29/1969	Davey T	LAB	7540	0
Gisborne	11/29/1969	Phin PK	SC	1176	0
Gisborne	11/25/1972	Davey T	LAB	8441	1
Gisborne	11/25/1972	Tombleson Mrs El	NAT	7953	0
Gisborne	11/25/1972	Dwyer JP	SC	654	0
Gisborne	11/25/1972	Fairbrother ID	LR	53	0
Gisborne	11/25/1972	Tomlinson GN	I	44	0
Gisborne	11/25/1972	Simpson JH	ND	29	0
Gisborne	11/29/1975	Bell RL	NAT	9455	1
Gisborne	11/29/1975	Davey T	LAB	8134	0
Gisborne	11/29/1975	Haynes Ms MP	SC	1003	0
Gisborne	11/29/1975	Taylor Ms IS	V	769	0
Gisborne	11/25/1978	Bell RL	NAT	7631	1
Gisborne	11/25/1978	Wallbank AR	LAB	7418	0
Gisborne	11/25/1978	Smith HA	SC	2366	0
Gisborne	11/25/1978	MacLean GW	V	370	0
Gisborne	11/28/1981	Bell RL	NAT	7957	1
Gisborne	11/28/1981	Wallbank AR	LAB	7807	0
Gisborne	11/28/1981	Smith HA	SC	2667	0
Gisborne	11/28/1981	MacLean GW	V	135	0
Gisborne	7/14/1984	Wallbank AR	LAB	10512	1
Gisborne	7/14/1984	Bell RL	NAT	8344	0
Gisborne	7/14/1984	De Zylva ERA	NZP	1574	0
Gisborne	7/14/1984	Smith HA	SC	670	0
Gisborne	7/14/1984	MacLean GW	V	66	0
Gisborne	8/15/1987	Wallbank AR	LAB	10754	1
Gisborne	8/15/1987	TattersfieldMissGM	NAT	7995	0
Gisborne	8/15/1987	Urlich RM	DEM	344	0
Gisborne	8/15/1987	Kupenga TTe	MM	77	0
Glenfield	7/14/1984	Keall Mrs JM	LAB	8857	1
Glenfield	7/14/1984	Schnauer DL	NAT	8048	0
Glenfield	7/14/1984	West GA	NZP	2433	0
Glenfield	7/14/1984	Trubshoe LG	SC	1734	0
Glenfield	8/15/1987	Keall Mrs JM	LAB	10953	1
Glenfield	8/15/1987	Schnauer DL	NAT	9053	0
Glenfield	8/15/1987	Weston AF	DEM	400	0
Glenfield	8/15/1987	Sampson IR	NZP	146	0
Grey Lynn	11/27/1946	Hackett F	LAB	9537	1
Grey Lynn	11/27/1946	Barry HG	NAT	3627	0
Grey Lynn	11/30/1949	Hackett F	LAB	7362	1
Grey Lynn	11/30/1949	Faulkner JL	NAT	3159	0
Grey Lynn	11/30/1949	Lee JA	DL	2627	0
Grey Lynn	9/1/1951	Hackett F	LAB	8265	1
Grey Lynn	9/1/1951	Barry HG	NAT	4452	0
Grey Lynn	11/13/1954	Hackett F	LAB	8483	1
Grey Lynn	11/13/1954	McGowan T	NAT	3676	0
Grey Lynn	11/13/1954	Jones SHC	SC	835	0
Grey Lynn	11/13/1954	Smith Mrs LR	C	129	0
Grey Lynn	11/30/1957	Hackett F	LAB	9893	1
Grey Lynn	11/30/1957	Griffiths B	NAT	4106	0
Grey Lynn	11/30/1957	James ER	SC	733	0
Grey Lynn	11/26/1960	Hackett F	LAB	8761	1
Grey Lynn	11/26/1960	Zouch BT	NAT	4165	0
Grey Lynn	11/26/1960	Morley FT	SC	693	0
Grey Lynn	11/26/1960	Wolf RC	C	117	0
Grey Lynn	5/18/1963	Keeling RA	LAB	4172	1
Grey Lynn	5/18/1963	Presland RJ	NAT	1791	0
Grey Lynn	5/18/1963	Ross WA	SC	246	0
Grey Lynn	5/18/1963	Jackson GE	C	128	0
Grey Lynn	11/30/1963	MacDonald RL	LAB	9838	1
Grey Lynn	11/30/1963	Firth JR	NAT	4598	0
Grey Lynn	11/30/1963	Ross WA	SC	885	0
Grey Lynn	11/30/1963	Jackson GE	C	264	0
Grey Lynn	11/26/1966	MacDonald RL	LAB	8329	1
Grey Lynn	11/26/1966	Nash HA	NAT	3930	0
Grey Lynn	11/26/1966	Ross WA	SC	1523	0
Grey Lynn	11/26/1966	McAra PWG	C	152	0
Grey Lynn	11/29/1969	Isbey EE	LAB	6966	1
Grey Lynn	11/29/1969	Meder J	NAT	4051	0
Grey Lynn	11/29/1969	Ryan K	LGL	3887	0
Grey Lynn	11/29/1969	Ross WA	SC	743	0
Grey Lynn	11/25/1972	Isbey EE	LAB	9887	1
Grey Lynn	11/25/1972	Meder J	NAT	4400	0
Grey Lynn	11/25/1972	Ross WA	SC	1148	0
Grey Lynn	11/25/1972	Houston WD	V	814	0
Grey Lynn	11/25/1972	Spratt MJJ	ND	63	0
Grey Lynn	11/29/1975	Isbey EE	LAB	8268	1
Grey Lynn	11/29/1975	Meder J	NAT	5429	0
Grey Lynn	11/29/1975	Robb LF	V	1472	0
Grey Lynn	11/29/1975	Ross WA	SC	977	0
Grey Lynn	11/29/1975	Robson MP	SA	31	0
Grey Lynn	11/29/1975	Skilton AB	SU	30	0
