Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Awarua	9/1/1951	Herron GR	National	8121	1	
Awarua	9/1/1951	Pickering NG	Labour	4366	0	
Bay of Plenty	9/1/1951	Sullivan W	National	9389	1	
Bay of Plenty	9/1/1951	Santon TG	Labour	5342	0	
Brooklyn	9/1/1951	Nordmeyer AH	Labour	6375	1	
Brooklyn	9/1/1951	Clift CW	National	4549	0	
Buller	9/1/1951	Skinner CF	Labour	7215	1	
Buller	9/1/1951	McDonald PE	National	5988	0	
Christchurch Central	9/1/1951	MacFarlane RM	Labour	6901	1	
Christchurch Central	9/1/1951	Schmacher A	National	4103	0	
Clutha	9/1/1951	Roy JAMcL	National	8045	1	
Clutha	9/1/1951	Sanders JM	Labour	4462	0	
Dunedin Central	9/1/1951	Connolly PG	Labour	6231	1	
Dunedin Central	9/1/1951	MacDougall WP	National	5858	0	
Dunedin North	9/1/1951	Walls R	Labour	6929	1	
Dunedin North	9/1/1951	Cameron Donald	National	6622	0	
Eastern Maori	9/1/1951	Omana T	Labour	8905	1	
Eastern Maori	9/1/1951	Carroll AT	National	5199	0	
Eden	9/1/1951	Fortune WH	National	7016	1	
Eden	9/1/1951	Burfitt JR	Labour	4214	0	
Egmont	9/1/1951	Corbett EB	National	8643	1	
Egmont	9/1/1951	Richmond BE	Labour	3747	0	
Fendalton	9/1/1951	Holland SG	National	8546	1	
Fendalton	9/1/1951	Alley PJ	Labour	4180	0	
Franklin	9/1/1951	Massey JN	National	9691	1	
Franklin	9/1/1951	Faulkner AJ	Labour	4333	0	
Gisborne	9/1/1951	Dudfield H	National	7569	1	
Gisborne	9/1/1951	Keeling RA	Labour	7231	0	
Grey Lynn	9/1/1951	Hackett F	Labour	8265	1	
Grey Lynn	9/1/1951	Barry HG	National	4452	0	
Hamilton	9/1/1951	Ross GH	National	7853	1	
Hamilton	9/1/1951	Waters EA	Labour	5601	0	
Hastings	9/1/1951	Jones SI	National	8198	1	
Hastings	9/1/1951	Beattie HE	Labour	7060	0	
Hauraki	9/1/1951	Sutherland AS	National	8612	1	
Hauraki	9/1/1951	Dynes BW	Labour	4144	0	
Hawkes Bay	9/1/1951	Harker CGE	National	8494	1	
Hawkes Bay	9/1/1951	Lowe A	Labour	4341	0	
Hobson	9/1/1951	Smith SW	National	9035	1	
Hobson	9/1/1951	King NJ	Labour	3698	0	
Hobson	9/1/1951	Slyfield HD	ICP	248	0	
Hurunui	9/1/1951	Gillespie WH	National	8086	1	
Hurunui	9/1/1951	Cassidy WE	Labour	5165	0	
Hutt	9/1/1951	Nash W	Labour	8872	1	
Hutt	9/1/1951	Andrews JW	National	6424	0	
Hutt	9/1/1951	Simpson TF	WCL	71	0	
Invercargill	9/1/1951	Hanan JR	National	8208	1	
Invercargill	9/1/1951	Spurdle FG	Labour	6085	0	
Island Bay	9/1/1951	McKeen R	Labour	6735	1	
Island Bay	9/1/1951	Duncan JE	National	5055	0	
Island Bay	9/1/1951	Birchfield C	C	99	0	
Karori	9/1/1951	Bowden CM	National	8128	1	
Karori	9/1/1951	Bateman JA	Labour	4675	0	
Lyttelton	9/1/1951	Lake HR	National	7480	1	
Lyttelton	9/1/1951	McCombs TH	Labour	7347	0	
Manawatu	9/1/1951	Oram MH	National	8292	1	
